Make	Model	Year	Engine Displacement	Cylinders	Transmission	Drivetrain	Vehicle Class	Fuel Type	Fuel Barrels/Year	City MPG	Highway MPG	Combined MPG	CO2 Emission Grams/Mile	Fuel Cost/Year
AM General	DJ Po Vehicle 2WD	1984	2.5	4.0	Automatic 3-spd	2-Wheel Drive	Special Purpose Vehicle 2WD	Regular	19.388823529411766	18	17	17	522.7647058823529	1950
AM General	FJ8c Post Office	1984	4.2	6.0	Automatic 3-spd	2-Wheel Drive	Special Purpose Vehicle 2WD	Regular	25.35461538461539	13	13	13	683.6153846153846	2550
AM General	Post Office DJ5 2WD	1985	2.5	4.0	Automatic 3-spd	Rear-Wheel Drive	Special Purpose Vehicle 2WD	Regular	20.600625	16	17	16	555.4375	2100
AM General	Post Office DJ8 2WD	1985	4.2	6.0	Automatic 3-spd	Rear-Wheel Drive	Special Purpose Vehicle 2WD	Regular	25.35461538461539	13	13	13	683.6153846153846	2550
ASC Incorporated	GNX	1987	3.8	6.0	Automatic 4-spd	Rear-Wheel Drive	Midsize Cars	Premium	20.600625	14	21	16	555.4375	2550
Acura	2.2CL/3.0CL	1997	2.2	4.0	Automatic 4-spd	Front-Wheel Drive	Subcompact Cars	Regular	14.98227272727273	20	26	22	403.95454545454544	1500
Acura	2.2CL/3.0CL	1997	2.2	4.0	Manual 5-spd	Front-Wheel Drive	Subcompact Cars	Regular	13.73375	22	28	24	370.29166666666674	1400
Acura	2.2CL/3.0CL	1997	3.0	6.0	Automatic 4-spd	Front-Wheel Drive	Subcompact Cars	Regular	16.4805	18	26	20	444.35	1650
Acura	2.3CL/3.0CL	1998	2.3	4.0	Automatic 4-spd	Front-Wheel Drive	Subcompact Cars	Regular	14.98227272727273	19	27	22	403.95454545454544	1500
Acura	2.3CL/3.0CL	1998	2.3	4.0	Manual 5-spd	Front-Wheel Drive	Subcompact Cars	Regular	13.73375	21	29	24	370.29166666666674	1400
Acura	2.3CL/3.0CL	1998	3.0	6.0	Automatic 4-spd	Front-Wheel Drive	Subcompact Cars	Regular	16.4805	17	26	20	444.35	1650
Acura	2.3CL/3.0CL	1999	2.3	4.0	Automatic 4-spd	Front-Wheel Drive	Subcompact Cars	Regular	14.98227272727273	20	27	22	403.95454545454544	1500
Acura	2.3CL/3.0CL	1999	2.3	4.0	Manual 5-spd	Front-Wheel Drive	Subcompact Cars	Regular	13.73375	21	29	24	370.29166666666674	1400
Acura	2.3CL/3.0CL	1999	3.0	6.0	Automatic 4-spd	Front-Wheel Drive	Subcompact Cars	Regular	16.4805	17	26	20	444.35	1650
Acura	2.5TL	1995	2.5	5.0	Automatic 4-spd	Front-Wheel Drive	Compact Cars	Premium	16.4805	18	23	20	444.35	2000
Acura	2.5TL/3.2TL	1996	2.5	5.0	Automatic 4-spd	Front-Wheel Drive	Compact Cars	Premium	16.4805	18	23	20	444.35	2000
Acura	2.5TL/3.2TL	1996	3.2	6.0	Automatic 4-spd	Front-Wheel Drive	Compact Cars	Premium	17.347894736842107	17	22	19	467.73684210526324	2150
